IID,projection
3420970,7.321399911341231
5682594,7.318378797476262
2588168,7.312494927915346
3391903,7.308989219697051
2812155,7.293403680707905
2781001,7.292844247236244
1626175,7.289711034671172
3089173,7.280929431226862
3682197,7.278442375862854
5984646,7.273130398246609
2864303,7.264195341732228
5834253,7.256675308982334
5939602,7.255242404845946
5364297,7.248456809391316
4668032,7.240652710492722
3622954,7.238864881364384
4591688,7.2319917017489095
1819470,7.231737159092519
5038832,7.228311437753269
5025453,7.204950900255543
2197716,7.203079641223592
1399708,7.190993805700075
4613575,7.190532462183172
4357238,7.183872774583957
5115775,7.182044968065724
2770518,7.1771593647939325
5383416,7.158579206216409
5970369,7.157981842236584
2585305,7.148996388268159
4287369,7.1457137776321025
3951910,7.144715144483325
1369171,7.143559596315221
5764575,7.136034362223697
4682322,7.1177393684444485
2113075,7.115764067599277
1625360,7.113451182404533
3478393,7.112124275779447
5260766,7.10840727542155
4400926,7.105987536914708
1974335,7.09902645258253
2455185,7.077841107531198
5998744,7.068988213251987
1129348,7.06477777226465
2259601,7.052154884550085
4115128,7.040999780694734
3555643,7.037932869076374
2470982,7.035234846832609
2808352,7.030987007626571
1351078,7.0253530788999665
3481550,7.022747549232822
4247058,7.017254831110309
5156304,7.010949961593814
3494152,7.005153927912869
2402368,7.004730642865546
2230522,7.00177652375535
1199665,6.993149465258689
5503771,6.982789653864395
1432101,6.976669938305028
2962856,6.973582307148021
5759819,6.972116713038589
2558435,6.971625611367108
1315015,6.966171971243111
1087571,6.958965650768652
3622434,6.9429692199587345
1935490,6.938692912024245
5397613,6.931563900365196
5993934,6.9295579561335385
1663126,6.927685852722129
2053059,6.918363695572872
3474363,6.918084237233353
3607181,6.909072845949078
5549031,6.907606797534372
2589538,6.903115542103554
3468228,6.902900602490948
1022868,6.896299306160201
1633451,6.8935165677254995
5658390,6.893360889014177
3581684,6.888184784338553
1760126,6.887962715662214
2644384,6.883354071111501
2921912,6.882299811149153
4270467,6.868182255318618
4070482,6.851947431845968
2869067,6.847470344613864
2040220,6.845631427238952
